FeedbackID,CustomerID,FeedbackDate,Rating,Comments,Region
FB-00856,CUST-2822,2023-10-03,5,Quick shipping and well-packaged. Exactly as described.,EAST
FB-01502,CUST-1432,2023-10-03,4,Great experience from order to delivery. Highly recommend.,WEST
FB-01788,CUST-2745,2023-10-03,4,Excellent service and fast delivery. Very happy with my purchase.,CENTRAL
FB-01816,CUST-1433,2023-10-03,4,Love the product quality. The team was very professional.,CENTRAL
FB-01869,CUST-1808,2023-10-03,2,I have been a loyal customer for 5 years but reconsidering my options after this experience.,CENTRAL
FB-01979,CUST-1446,2023-10-03,2,Product stopped working after one week. Very frustrated.,CENTRAL
FB-00054,CUST-1842,2023-10-04,5,Great experience from order to delivery. Highly recommend.,NORTH
FB-00064,CUST-2081,2023-10-04,3,Good product but the ordering process was confusing.,NORTH
FB-00408,CUST-1607,2023-10-04,5,Love the product quality. The team was very professional.,SOUTH
FB-00439,CUST-1689,2023-10-04,5,Love the product quality. The team was very professional.,SOUTH
FB-00465,CUST-1960,2023-10-04,4,Great experience from order to delivery. Highly recommend.,SOUTH
FB-00485,CUST-2848,2023-10-04,3,Acceptable quality for the price. Delivery was average.,SOUTH
FB-00516,CUST-1229,2023-10-04,4,Great experience from order to delivery. Highly recommend.,SOUTH
FB-00612,CUST-1091,2023-10-04,5,Outstanding customer service resolved my query in minutes.,SOUTH
FB-00823,CUST-1534,2023-10-04,4,Delivery was on time and product works perfectly.,EAST
FB-00914,CUST-2392,2023-10-04,2,Very poor customer service. Waited 3 days for a response.,EAST
FB-00951,CUST-2094,2023-10-04,2,The delivery was extremely slow and the product arrived damaged. I am reconsidering my options.,EAST
FB-01040,CUST-1157,2023-10-04,5,Product quality exceeded my expectations. Will buy again.,EAST
FB-01091,CUST-2520,2023-10-04,2,I have been a loyal customer for 5 years but reconsidering my options after this experience.,EAST
FB-01578,CUST-1461,2023-10-04,4,Delivery was on time and product works perfectly.,WEST
FB-01749,CUST-1245,2023-10-04,4,Excellent service and fast delivery. Very happy with my purchase.,CENTRAL
FB-00125,CUST-1721,2023-10-05,4,Great experience from order to delivery. Highly recommend.,NORTH
FB-00265,CUST-2450,2023-10-05,5,Love the product quality. The team was very professional.,NORTH
FB-00365,CUST-2517,2023-10-05,3,Product matches description but packaging could be improved.,NORTH
FB-00417,CUST-2606,2023-10-05,4,Great experience from order to delivery. Highly recommend.,SOUTH
FB-00434,CUST-2982,2023-10-05,3,Acceptable quality for the price. Delivery was average.,SOUTH
FB-00669,CUST-2197,2023-10-05,4,Great experience from order to delivery. Highly recommend.,SOUTH
FB-00760,CUST-1364,2023-10-05,5,Delivery was on time and product works perfectly.,SOUTH
FB-01125,CUST-1552,2023-10-05,3,Product is okay. Delivery took a bit longer than expected.,EAST
FB-01339,CUST-1840,2023-10-05,5,Amazing value for money. Would definitely recommend to a friend.,WEST
FB-01368,CUST-2406,2023-10-05,4,Love the product quality. The team was very professional.,WEST
FB-01418,CUST-2564,2023-10-05,3,Product is okay. Delivery took a bit longer than expected.,WEST
FB-01528,CUST-1164,2023-10-05,4,Delivery was on time and product works perfectly.,WEST
FB-01792,CUST-1697,2023-10-05,5,Product quality exceeded my expectations. Will buy again.,CENTRAL
FB-00079,CUST-1721,2023-10-06,1,The delivery was extremely slow and the product arrived damaged. I am reconsidering my options.,NORTH
FB-00299,CUST-2880,2023-10-06,2,Delivery was extremely slow and the product arrived damaged.,NORTH
FB-00302,CUST-1917,2023-10-06,2,I have been a loyal customer for 5 years but reconsidering my options after this experience.,NORTH
FB-00314,CUST-2784,2023-10-06,1,I have been a loyal customer for 5 years but reconsidering my options after this experience.,NORTH
FB-00552,CUST-1687,2023-10-06,4,Amazing value for money. Would definitely recommend to a friend.,SOUTH
FB-00709,CUST-2172,2023-10-06,5,Outstanding customer service resolved my query in minutes.,SOUTH
FB-00777,CUST-1447,2023-10-06,1,Delivery was extremely slow and the product arrived damaged.,SOUTH
FB-00778,CUST-2205,2023-10-06,2,Product stopped working after one week. Very frustrated.,SOUTH
FB-00923,CUST-1351,2023-10-06,4,Outstanding customer service resolved my query in minutes.,EAST
FB-00952,CUST-2222,2023-10-06,3,Product is okay. Delivery took a bit longer than expected.,EAST
FB-01210,CUST-2851,2023-10-06,5,Great experience from order to delivery. Highly recommend.,WEST
FB-01340,CUST-2096,2023-10-06,4,Great experience from order to delivery. Highly recommend.,WEST
FB-01529,CUST-2531,2023-10-06,5,Excellent service and fast delivery. Very happy with my purchase.,WEST
FB-01564,CUST-1685,2023-10-06,3,Product is okay. Delivery took a bit longer than expected.,WEST
FB-01569,CUST-1749,2023-10-06,5,Great experience from order to delivery. Highly recommend.,WEST
FB-01676,CUST-1841,2023-10-06,3,Acceptable quality for the price. Delivery was average.,CENTRAL
FB-01724,CUST-2339,2023-10-06,5,Quick shipping and well-packaged. Exactly as described.,CENTRAL
FB-01933,CUST-2748,2023-10-06,4,Product quality exceeded my expectations. Will buy again.,CENTRAL
FB-00062,CUST-1101,2023-10-07,2,Long delivery time and no tracking updates. Unacceptable.,NORTH
FB-00066,CUST-2608,2023-10-07,2,I have been a loyal customer for 5 years but reconsidering my options after this experience.,NORTH
FB-00164,CUST-2404,2023-10-07,5,Excellent service and fast delivery. Very happy with my purchase.,NORTH
FB-00165,CUST-1855,2023-10-07,2,Delivery was extremely slow and the product arrived damaged.,NORTH
FB-00194,CUST-1312,2023-10-07,4,Outstanding customer service resolved my query in minutes.,NORTH
FB-00449,CUST-2653,2023-10-07,2,Product stopped working after one week. Very frustrated.,SOUTH
FB-00588,CUST-2551,2023-10-07,5,Quick shipping and well-packaged. Exactly as described.,SOUTH
FB-00615,CUST-1065,2023-10-07,4,Product quality exceeded my expectations. Will buy again.,SOUTH
FB-00728,CUST-2056,2023-10-07,5,Amazing value for money. Would definitely recommend to a friend.,SOUTH
FB-00746,CUST-2450,2023-10-07,3,Average experience. Nothing stood out positively or negatively.,SOUTH
FB-00957,CUST-1944,2023-10-07,4,Delivery was on time and product works perfectly.,EAST
FB-01045,CUST-2526,2023-10-07,4,Product quality exceeded my expectations. Will buy again.,EAST
FB-01184,CUST-1511,2023-10-07,2,The delivery was extremely slow and the product arrived damaged. I am reconsidering my options.,EAST
FB-01185,CUST-1578,2023-10-07,3,Product works as expected. No major complaints.,EAST
FB-01369,CUST-2057,2023-10-07,3,Product is okay. Delivery took a bit longer than expected.,WEST
FB-01459,CUST-1926,2023-10-07,4,Product quality exceeded my expectations. Will buy again.,WEST
FB-01568,CUST-1489,2023-10-07,3,Product matches description but packaging could be improved.,WEST
FB-01589,CUST-2259,2023-10-07,4,Outstanding customer service resolved my query in minutes.,WEST
FB-01642,CUST-2890,2023-10-07,4,Excellent service and fast delivery. Very happy with my purchase.,CENTRAL
FB-01865,CUST-2539,2023-10-07,5,Product quality exceeded my expectations. Will buy again.,CENTRAL
FB-01981,CUST-2624,2023-10-07,4,Product quality exceeded my expectations. Will buy again.,CENTRAL
FB-00025,CUST-1903,2023-10-08,2,Long delivery time and no tracking updates. Unacceptable.,NORTH
FB-00251,CUST-2475,2023-10-08,3,Product is okay. Delivery took a bit longer than expected.,NORTH
FB-00356,CUST-1381,2023-10-08,4,Love the product quality. The team was very professional.,NORTH
FB-00469,CUST-2585,2023-10-08,4,Great experience from order to delivery. Highly recommend.,SOUTH
FB-00470,CUST-1762,2023-10-08,5,Quick shipping and well-packaged. Exactly as described.,SOUTH
FB-00671,CUST-1507,2023-10-08,3,Average experience. Nothing stood out positively or negatively.,SOUTH
FB-00747,CUST-1709,2023-10-08,5,Product quality exceeded my expectations. Will buy again.,SOUTH
FB-00769,CUST-2294,2023-10-08,4,Great experience from order to delivery. Highly recommend.,SOUTH
FB-00775,CUST-1218,2023-10-08,5,Quick shipping and well-packaged. Exactly as described.,SOUTH
FB-00845,CUST-1970,2023-10-08,5,Outstanding customer service resolved my query in minutes.,EAST
FB-00965,CUST-2183,2023-10-08,2,Very poor customer service. Waited 3 days for a response.,EAST
FB-01124,CUST-1292,2023-10-08,3,Product works as expected. No major complaints.,EAST
FB-01305,CUST-2138,2023-10-08,4,Product quality exceeded my expectations. Will buy again.,WEST
FB-01583,CUST-2996,2023-10-08,5,Outstanding customer service resolved my query in minutes.,WEST
FB-01693,CUST-2865,2023-10-08,5,Love the product quality. The team was very professional.,CENTRAL
FB-01701,CUST-1527,2023-10-08,3,Product works as expected. No major complaints.,CENTRAL
FB-01817,CUST-2740,2023-10-08,4,Quick shipping and well-packaged. Exactly as described.,CENTRAL
FB-01965,CUST-2529,2023-10-08,5,Amazing value for money. Would definitely recommend to a friend.,CENTRAL
FB-00266,CUST-2255,2023-10-09,3,Customer service was adequate. Issue resolved eventually.,NORTH
FB-00275,CUST-1516,2023-10-09,3,Acceptable quality for the price. Delivery was average.,NORTH
FB-00627,CUST-1630,2023-10-09,4,Great experience from order to delivery. Highly recommend.,SOUTH
FB-00629,CUST-2286,2023-10-09,4,Product quality exceeded my expectations. Will buy again.,SOUTH
FB-00877,CUST-2391,2023-10-09,3,Product is okay. Delivery took a bit longer than expected.,EAST
FB-00954,CUST-1645,2023-10-09,2,Long delivery time and no tracking updates. Unacceptable.,EAST
FB-01269,CUST-2640,2023-10-09,1,Packaging was terrible and product was scratched on arrival.,WEST
FB-01282,CUST-2355,2023-10-09,4,Love the product quality. The team was very professional.,WEST
FB-01344,CUST-2933,2023-10-09,3,Product is okay. Delivery took a bit longer than expected.,WEST
FB-01484,CUST-1570,2023-10-09,4,Great experience from order to delivery. Highly recommend.,WEST
FB-01616,CUST-2072,2023-10-09,4,Love the product quality. The team was very professional.,CENTRAL
FB-01729,CUST-2865,2023-10-09,3,Customer service was adequate. Issue resolved eventually.,CENTRAL
FB-01766,CUST-1447,2023-10-09,3,Good product but the ordering process was confusing.,CENTRAL
FB-01769,CUST-2371,2023-10-09,5,Amazing value for money. Would definitely recommend to a friend.,CENTRAL
FB-00168,CUST-1274,2023-10-10,2,Delivery was extremely slow and the product arrived damaged.,NORTH
FB-00197,CUST-2114,2023-10-10,4,Great experience from order to delivery. Highly recommend.,NORTH
FB-00418,CUST-1362,2023-10-10,5,Outstanding customer service resolved my query in minutes.,SOUTH
FB-00570,CUST-2271,2023-10-10,5,Product quality exceeded my expectations. Will buy again.,SOUTH
FB-00684,CUST-1650,2023-10-10,4,Quick shipping and well-packaged. Exactly as described.,SOUTH
FB-00814,CUST-2117,2023-10-10,3,Good product but the ordering process was confusing.,EAST
FB-00875,CUST-1443,2023-10-10,2,Wrong item was delivered and the return process is a nightmare.,EAST
FB-00956,CUST-2643,2023-10-10,5,Product quality exceeded my expectations. Will buy again.,EAST
FB-01017,CUST-1173,2023-10-10,2,Long delivery time and no tracking updates. Unacceptable.,EAST
FB-01114,CUST-1677,2023-10-10,2,Product quality is below expectations. Disappointed.,EAST
FB-01135,CUST-1855,2023-10-10,3,Product matches description but packaging could be improved.,EAST
FB-01213,CUST-2365,2023-10-10,4,Amazing value for money. Would definitely recommend to a friend.,WEST
FB-01373,CUST-1053,2023-10-10,4,Excellent service and fast delivery. Very happy with my purchase.,WEST
FB-01522,CUST-1627,2023-10-10,3,Product is okay. Delivery took a bit longer than expected.,WEST
FB-01537,CUST-1569,2023-10-10,1,Product stopped working after one week. Very frustrated.,WEST
FB-01540,CUST-2862,2023-10-10,4,Love the product quality. The team was very professional.,WEST
FB-01741,CUST-2871,2023-10-10,4,Excellent service and fast delivery. Very happy with my purchase.,CENTRAL
FB-01809,CUST-2227,2023-10-10,3,Delivery was slightly delayed but product is fine.,CENTRAL
FB-00002,CUST-2984,2023-10-11,3,Product works as expected. No major complaints.,NORTH
FB-00213,CUST-2708,2023-10-11,4,Quick shipping and well-packaged. Exactly as described.,NORTH
FB-00249,CUST-2382,2023-10-11,4,Quick shipping and well-packaged. Exactly as described.,NORTH
FB-00380,CUST-1963,2023-10-11,2,Delivery was extremely slow and the product arrived damaged.,NORTH
FB-00399,CUST-1507,2023-10-11,2,I have been a loyal customer for 5 years but reconsidering my options after this experience.,NORTH
FB-00493,CUST-2034,2023-10-11,3,Product is okay. Delivery took a bit longer than expected.,SOUTH
FB-00645,CUST-2182,2023-10-11,3,Delivery was slightly delayed but product is fine.,SOUTH
FB-01055,CUST-1897,2023-10-11,3,Product is okay. Delivery took a bit longer than expected.,EAST
FB-01071,CUST-1586,2023-10-11,3,Customer service was adequate. Issue resolved eventually.,EAST
FB-01147,CUST-1986,2023-10-11,3,Product is okay. Delivery took a bit longer than expected.,EAST
FB-01315,CUST-2487,2023-10-11,4,Love the product quality. The team was very professional.,WEST
FB-01628,CUST-1191,2023-10-11,4,Amazing value for money. Would definitely recommend to a friend.,CENTRAL
FB-01895,CUST-1835,2023-10-11,4,Amazing value for money. Would definitely recommend to a friend.,CENTRAL
FB-00096,CUST-2183,2023-10-12,4,Delivery was on time and product works perfectly.,NORTH
FB-00148,CUST-1207,2023-10-12,3,Good product but the ordering process was confusing.,NORTH
FB-00151,CUST-2317,2023-10-12,3,Customer service was adequate. Issue resolved eventually.,NORTH
FB-00290,CUST-1145,2023-10-12,3,Acceptable quality for the price. Delivery was average.,NORTH
FB-00298,CUST-2465,2023-10-12,4,Excellent service and fast delivery. Very happy with my purchase.,NORTH
FB-00397,CUST-1122,2023-10-12,3,Delivery was slightly delayed but product is fine.,NORTH
FB-00762,CUST-2225,2023-10-12,2,Delivery was extremely slow and the product arrived damaged.,SOUTH
FB-00767,CUST-2205,2023-10-12,4,Great experience from order to delivery. Highly recommend.,SOUTH
FB-00806,CUST-1668,2023-10-12,5,Outstanding customer service resolved my query in minutes.,EAST
FB-01150,CUST-1577,2023-10-12,4,Outstanding customer service resolved my query in minutes.,EAST
FB-01226,CUST-2886,2023-10-12,4,Excellent service and fast delivery. Very happy with my purchase.,WEST
FB-01314,CUST-2177,2023-10-12,3,Delivery was slightly delayed but product is fine.,WEST
FB-01329,CUST-2743,2023-10-12,5,Love the product quality. The team was very professional.,WEST
FB-01370,CUST-2740,2023-10-12,5,Outstanding customer service resolved my query in minutes.,WEST
FB-01465,CUST-1951,2023-10-12,4,Product quality exceeded my expectations. Will buy again.,WEST
FB-01731,CUST-1464,2023-10-12,3,Product matches description but packaging could be improved.,CENTRAL
FB-01772,CUST-2564,2023-10-12,4,Outstanding customer service resolved my query in minutes.,CENTRAL
FB-01881,CUST-1383,2023-10-12,3,Customer service was adequate. Issue resolved eventually.,CENTRAL
FB-01946,CUST-2228,2023-10-12,4,Excellent service and fast delivery. Very happy with my purchase.,CENTRAL
FB-01995,CUST-1972,2023-10-12,3,Delivery was slightly delayed but product is fine.,CENTRAL
FB-00205,CUST-2828,2023-10-13,2,Long delivery time and no tracking updates. Unacceptable.,NORTH
FB-00264,CUST-1690,2023-10-13,2,Long delivery time and no tracking updates. Unacceptable.,NORTH
FB-00707,CUST-1326,2023-10-13,3,Average experience. Nothing stood out positively or negatively.,SOUTH
FB-00713,CUST-1074,2023-10-13,4,Love the product quality. The team was very professional.,SOUTH
FB-00849,CUST-1724,2023-10-13,3,Delivery was slightly delayed but product is fine.,EAST
FB-00874,CUST-2188,2023-10-13,3,Product matches description but packaging could be improved.,EAST
FB-00910,CUST-1229,2023-10-13,3,Good product but the ordering process was confusing.,EAST
FB-01217,CUST-1848,2023-10-13,3,Customer service was adequate. Issue resolved eventually.,WEST
FB-01518,CUST-2931,2023-10-13,2,Very poor customer service. Waited 3 days for a response.,WEST
FB-01798,CUST-1141,2023-10-13,4,Delivery was on time and product works perfectly.,CENTRAL
FB-01826,CUST-1847,2023-10-13,3,Product works as expected. No major complaints.,CENTRAL
FB-00005,CUST-2763,2023-10-14,5,Quick shipping and well-packaged. Exactly as described.,NORTH
FB-00080,CUST-1731,2023-10-14,3,Good product but the ordering process was confusing.,NORTH
FB-00207,CUST-1446,2023-10-14,3,Delivery was slightly delayed but product is fine.,NORTH
FB-00291,CUST-1489,2023-10-14,1,The delivery was extremely slow and the product arrived damaged. I am reconsidering my options.,NORTH
FB-00412,CUST-1529,2023-10-14,5,Product quality exceeded my expectations. Will buy again.,SOUTH
FB-00795,CUST-1751,2023-10-14,5,Amazing value for money. Would definitely recommend to a friend.,SOUTH
FB-01051,CUST-2244,2023-10-14,2,Very poor customer service. Waited 3 days for a response.,EAST
FB-01056,CUST-1210,2023-10-14,2,Customer service was unhelpful and rude.,EAST
FB-01102,CUST-2874,2023-10-14,4,Excellent service and fast delivery. Very happy with my purchase.,EAST
FB-01178,CUST-2470,2023-10-14,3,Average experience. Nothing stood out positively or negatively.,EAST
FB-01181,CUST-1322,2023-10-14,3,Customer service was adequate. Issue resolved eventually.,EAST
FB-01258,CUST-2993,2023-10-14,5,Product quality exceeded my expectations. Will buy again.,WEST
FB-01284,CUST-2455,2023-10-14,2,Product quality is below expectations. Disappointed.,WEST
FB-01381,CUST-1432,2023-10-14,4,Love the product quality. The team was very professional.,WEST
FB-01439,CUST-2943,2023-10-14,5,Product quality exceeded my expectations. Will buy again.,WEST
FB-01532,CUST-2305,2023-10-14,4,Outstanding customer service resolved my query in minutes.,WEST
FB-01585,CUST-2354,2023-10-14,4,Excellent service and fast delivery. Very happy with my purchase.,WEST
FB-01591,CUST-2164,2023-10-14,5,Product quality exceeded my expectations. Will buy again.,WEST
FB-01647,CUST-2649,2023-10-14,5,Amazing value for money. Would definitely recommend to a friend.,CENTRAL
FB-01779,CUST-1005,2023-10-14,4,Product quality exceeded my expectations. Will buy again.,CENTRAL
FB-00009,CUST-2514,2023-10-15,4,Excellent service and fast delivery. Very happy with my purchase.,NORTH
FB-00053,CUST-1922,2023-10-15,4,Great experience from order to delivery. Highly recommend.,NORTH
FB-00084,CUST-2497,2023-10-15,3,Good product but the ordering process was confusing.,NORTH
FB-00179,CUST-2131,2023-10-15,3,Average experience. Nothing stood out positively or negatively.,NORTH
FB-00186,CUST-2032,2023-10-15,3,Average experience. Nothing stood out positively or negatively.,NORTH
FB-00204,CUST-2474,2023-10-15,4,Excellent service and fast delivery. Very happy with my purchase.,NORTH
FB-00339,CUST-1575,2023-10-15,3,Product is okay. Delivery took a bit longer than expected.,NORTH
FB-00700,CUST-2714,2023-10-15,5,Amazing value for money. Would definitely recommend to a friend.,SOUTH
FB-01025,CUST-2279,2023-10-15,2,Product stopped working after one week. Very frustrated.,EAST
FB-01438,CUST-2449,2023-10-15,4,Love the product quality. The team was very professional.,WEST
FB-01440,CUST-2678,2023-10-15,3,Delivery was slightly delayed but product is fine.,WEST
FB-01561,CUST-1285,2023-10-15,4,Delivery was on time and product works perfectly.,WEST
FB-00058,CUST-2515,2023-10-16,1,Long delivery time and no tracking updates. Unacceptable.,NORTH
FB-00083,CUST-2109,2023-10-16,4,Great experience from order to delivery. Highly recommend.,NORTH
FB-00091,CUST-2540,2023-10-16,2,I have been a loyal customer for 5 years but reconsidering my options after this experience.,NORTH
FB-00190,CUST-2189,2023-10-16,3,Product matches description but packaging could be improved.,NORTH
FB-00192,CUST-2856,2023-10-16,2,Delivery was extremely slow and the product arrived damaged.,NORTH
FB-00317,CUST-1409,2023-10-16,2,I have been a loyal customer for 5 years but reconsidering my options after this experience.,NORTH
FB-00411,CUST-1421,2023-10-16,2,Customer service was unhelpful and rude.,SOUTH
FB-00625,CUST-1879,2023-10-16,5,Great experience from order to delivery. Highly recommend.,SOUTH
FB-00694,CUST-2419,2023-10-16,5,Product quality exceeded my expectations. Will buy again.,SOUTH
FB-00880,CUST-1501,2023-10-16,4,Delivery was on time and product works perfectly.,EAST
FB-01363,CUST-2094,2023-10-16,2,Product quality is below expectations. Disappointed.,WEST
FB-01371,CUST-1791,2023-10-16,3,Good product but the ordering process was confusing.,WEST
FB-01553,CUST-2590,2023-10-16,4,Product quality exceeded my expectations. Will buy again.,WEST
FB-01592,CUST-1966,2023-10-16,4,Outstanding customer service resolved my query in minutes.,WEST
FB-01697,CUST-1942,2023-10-16,5,Love the product quality. The team was very professional.,CENTRAL
FB-01703,CUST-1602,2023-10-16,3,Average experience. Nothing stood out positively or negatively.,CENTRAL
FB-01790,CUST-2120,2023-10-16,4,Excellent service and fast delivery. Very happy with my purchase.,CENTRAL
FB-01934,CUST-1936,2023-10-16,5,Amazing value for money. Would definitely recommend to a friend.,CENTRAL
FB-01955,CUST-1941,2023-10-16,5,Great experience from order to delivery. Highly recommend.,CENTRAL
FB-00102,CUST-2087,2023-10-17,3,Good product but the ordering process was confusing.,NORTH
FB-00112,CUST-2640,2023-10-17,2,Long delivery time and no tracking updates. Unacceptable.,NORTH
FB-00121,CUST-2874,2023-10-17,4,Outstanding customer service resolved my query in minutes.,NORTH
FB-00211,CUST-2490,2023-10-17,2,I have been a loyal customer for 5 years but reconsidering my options after this experience.,NORTH
FB-00309,CUST-2362,2023-10-17,1,I have been a loyal customer for 5 years but reconsidering my options after this experience.,NORTH
FB-00653,CUST-1723,2023-10-17,1,I have been a loyal customer for 5 years but reconsidering my options after this experience.,SOUTH
FB-00738,CUST-1897,2023-10-17,4,Love the product quality. The team was very professional.,SOUTH
FB-00753,CUST-2703,2023-10-17,5,Excellent service and fast delivery. Very happy with my purchase.,SOUTH
FB-00809,CUST-2314,2023-10-17,3,Good product but the ordering process was confusing.,EAST
FB-01128,CUST-2928,2023-10-17,3,Product matches description but packaging could be improved.,EAST
FB-01224,CUST-2781,2023-10-17,5,Delivery was on time and product works perfectly.,WEST
FB-01273,CUST-2541,2023-10-17,3,Product matches description but packaging could be improved.,WEST
FB-01385,CUST-1602,2023-10-17,5,Outstanding customer service resolved my query in minutes.,WEST
FB-01581,CUST-2699,2023-10-17,4,Excellent service and fast delivery. Very happy with my purchase.,WEST
FB-01755,CUST-1190,2023-10-17,5,Quick shipping and well-packaged. Exactly as described.,CENTRAL
FB-01893,CUST-1495,2023-10-17,5,Excellent service and fast delivery. Very happy with my purchase.,CENTRAL
FB-00219,CUST-2583,2023-10-18,4,Quick shipping and well-packaged. Exactly as described.,NORTH
FB-00286,CUST-2797,2023-10-18,2,Delivery was extremely slow and the product arrived damaged.,NORTH
FB-00353,CUST-1018,2023-10-18,1,The delivery was extremely slow and the product arrived damaged. I am reconsidering my options.,NORTH
FB-00659,CUST-2084,2023-10-18,5,Amazing value for money. Would definitely recommend to a friend.,SOUTH
FB-00678,CUST-1761,2023-10-18,5,Outstanding customer service resolved my query in minutes.,SOUTH
FB-00729,CUST-1051,2023-10-18,4,Outstanding customer service resolved my query in minutes.,SOUTH
FB-00804,CUST-2306,2023-10-18,2,Delivery was extremely slow and the product arrived damaged.,EAST
FB-00866,CUST-2648,2023-10-18,4,Quick shipping and well-packaged. Exactly as described.,EAST
FB-00918,CUST-2510,2023-10-18,4,Excellent service and fast delivery. Very happy with my purchase.,EAST
FB-00994,CUST-1546,2023-10-18,5,Amazing value for money. Would definitely recommend to a friend.,EAST
FB-01057,CUST-1005,2023-10-18,5,Quick shipping and well-packaged. Exactly as described.,EAST
FB-01063,CUST-2309,2023-10-18,2,Product quality is below expectations. Disappointed.,EAST
FB-01183,CUST-2354,2023-10-18,4,Amazing value for money. Would definitely recommend to a friend.,EAST
FB-01495,CUST-2340,2023-10-18,2,Wrong item was delivered and the return process is a nightmare.,WEST
FB-01610,CUST-1038,2023-10-18,4,Love the product quality. The team was very professional.,CENTRAL
FB-01785,CUST-2658,2023-10-18,4,Product quality exceeded my expectations. Will buy again.,CENTRAL
FB-01800,CUST-2823,2023-10-18,5,Product quality exceeded my expectations. Will buy again.,CENTRAL
FB-01873,CUST-1292,2023-10-18,4,Quick shipping and well-packaged. Exactly as described.,CENTRAL
FB-00006,CUST-1066,2023-10-19,2,Long delivery time and no tracking updates. Unacceptable.,NORTH
FB-00052,CUST-1872,2023-10-19,4,Great experience from order to delivery. Highly recommend.,NORTH
FB-00139,CUST-1615,2023-10-19,3,Good product but the ordering process was confusing.,NORTH
FB-00597,CUST-1480,2023-10-19,5,Outstanding customer service resolved my query in minutes.,SOUTH
FB-00723,CUST-1126,2023-10-19,4,Outstanding customer service resolved my query in minutes.,SOUTH
FB-01138,CUST-1726,2023-10-19,1,Product stopped working after one week. Very frustrated.,EAST
FB-01175,CUST-1047,2023-10-19,3,Customer service was adequate. Issue resolved eventually.,EAST
FB-01209,CUST-2004,2023-10-19,5,Love the product quality. The team was very professional.,WEST
FB-01243,CUST-2944,2023-10-19,5,Delivery was on time and product works perfectly.,WEST
FB-01603,CUST-1213,2023-10-19,1,I have been a loyal customer for 5 years but reconsidering my options after this experience.,CENTRAL
FB-01658,CUST-2985,2023-10-19,5,Product quality exceeded my expectations. Will buy again.,CENTRAL
FB-01776,CUST-2664,2023-10-19,3,Customer service was adequate. Issue resolved eventually.,CENTRAL
FB-01821,CUST-1790,2023-10-19,5,Love the product quality. The team was very professional.,CENTRAL
